BID,asp,af
AC157_2,189.1,-0.951
AC155_1,343.1,0.569
AC156_4,314.6,0.323
AC139_3,322.9,0.227
AC158_3,216.4,-0.194
AC153_3,242.4,-0.089
AC153_4,203.5,-0.876
AC141_2,268.0,-0.008
T6072_2,211.1,-0.436
AC159_1,166.7,-0.496
T6076_2,206.1,-0.544
AC143_2,338.5,0.273
AC145_3,273.2,0.024
AC140_3,279.0,0.057
T1184_2,297.8,0.298
T1184_1,8.9,0.635
T1122_1,335.8,0.604
AC147_2,294.2,0.075
AC144_3,300.7,0.104
AC156_2,286.4,0.055
T6077_2,190.9,-0.748
T6076_1,156.9,-0.664
T6077_1,152.6,-0.599
AC137_3,214.0,-0.576
AC143_4,231.5,-0.253
AC142_2,213.1,-0.343
AC141_1,174.6,-0.582
T6078_2,242.7,-0.285
AC143_3,279.7,0.04
T1199_2,239.9,-0.137
T1199_1,138.1,-0.445
T6079_2,207.1,-0.639
T6078_1,181.1,-0.69
AC139_2,270.0,0.0
AC140_1,183.1,-0.591
AC145_2,203.6,-0.163
AC145_1,153.2,-0.353
AC144_1,162.0,-0.935
AC155_2,254.9,-0.062
AC153_2,180.6,-0.535
T6079_1,163.7,-0.741
AC144_2,301.5,0.081
AC156_3,206.3,-0.301
AC154_5,201.6,-0.662
T1122_2,281.2,0.123
T15046_2,239.7,-0.346
T15046_1,145.0,-0.584
AC147_3,217.1,-0.448
T1182_1,126.5,-0.351
T1181_2,229.2,-0.386
T1181_1,204.3,-0.505
T6080_1,163.7,-0.5
AC158_1,166.3,-0.711
T1187_2,234.3,-0.274
T1182_2,186.9,-0.708
T6081_2,290.9,0.029
T6080_2,219.0,-0.291
T1188_1,149.8,-0.2
AC143_1,187.8,-0.511
T1188_2,259.1,-0.079
T6081_1,211.1,-0.464
T1187_1,213.6,-0.464
AC152_3,322.9,0.559
T6082_2,330.6,0.463
AC148_4,291.3,0.13
T1208_1,195.0,-0.419
T1208_2,218.4,-0.432
AC148_1,37.1,0.458
AC139_4,205.5,-0.473
AC152_2,223.7,-0.194
AC151_4,355.3,0.573
AC144_4,140.6,-0.19
AC150_1,308.8,0.237
AC151_1,166.4,-0.944
T6083_1,338.7,0.268
AC148_2,272.7,0.017
AC148_3,232.5,-0.359
T1190_2,223.7,-0.46
T1190_1,202.0,-0.67
T6084_2,178.6,-0.825
AC150_4,241.5,-0.344
AC155_3,192.7,-0.623
AC151_2,252.2,-0.109
T6084_1,151.1,-0.664
AC150_3,258.3,-0.064
T1186_1,329.8,0.157
AC24_4,310.6,0.082
AC24_1,45.4,0.126
T6087_2,219.8,-0.531
AC25_2,354.0,0.271
T6087_1,200.5,-0.692
AC24_2,275.4,0.008
T6082_1,202.6,-0.478
T1185_1,358.9,0.543
T1185_2,281.8,0.125
T6064_1,354.7,0.741
AC24_3,247.5,-0.111
AC152_1,161.5,-0.607
T6088_2,304.0,0.378
T1189_2,347.2,0.629
T6083_2,226.7,-0.435
T1193_2,214.4,-0.53
T6086_1,173.9,-0.616
T6086_2,195.7,-0.726
AC151_3,162.2,-0.787
T6089_1,313.4,0.453
T1196_2,222.0,-0.364
T1196_1,177.9,-0.621
T1197_2,228.0,-0.441
T1195_2,264.9,-0.057
T1197_1,179.4,-0.752
T1195_1,208.3,-0.842
T6064_2,262.6,-0.091
T1193_1,165.0,-0.584
T1186_2,219.6,-0.551
AC150_2,166.6,-0.775
T1194_2,209.7,-0.737
AC25_3,251.4,-0.038
T6091_2,201.6,-0.632
T6091_1,149.0,-0.485
T1189_1,247.5,-0.254
T6088_1,224.8,-0.463
AC26_2,13.1,0.731
T15392_2,276.4,0.066
T15392_1,70.5,0.224
T1194_1,152.6,-0.678
T6089_2,221.8,-0.465
T6093_1,174.5,-0.776
T1198_1,115.0,-0.335
AC25_4,207.0,-0.649
AC26_1,276.8,0.042
T6093_2,197.4,-0.809
T6085_2,337.2,0.505
T6085_1,28.9,0.493
T16830_2,348.8,0.693
T16830_1,127.7,-0.412
AC27_1,28.6,0.54
T1200_1,199.8,-0.354
